"Local","Quest","Arquivo","Linha","Tipo","Requisito","Storage","Item","Quantidade","Level","NPC","Teleport","Porta","Lever","ActionId","UniqueId","ConsequenciaAtual","BypassExistente","RequisitoNovo","Proposta","QuestPreservada"
"Modules/Remastered/Balance/api","","Modules/Remastered/Balance/api.lua","178","PRESERVE_BOSS_MECHANIC","if scaleStorage and monster.getStorageValue and monster.setStorageValue and monster:getStorageValue(scaleStorage) == 1 then","Storage.RemasteredBossHealthScaled","","","","","False","False","False","","","Nega uso ou passagem.","False","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Scripts/Test-FreeExploration.ps1","","Scripts/Test-FreeExploration.ps1","26","PRESERVE_REWARD_OR_PROGRESS","if ($api -match 'setStorageValue|addItem|removeItem|addExperience|addAchievement') {","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","True","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Scripts/Test-FreeExploration.ps1","","Scripts/Test-FreeExploration.ps1","31","PRESERVE_REWARD_OR_PROGRESS","if ($chayenneReward -notmatch 'getStorageValue\(Storage\.ChayenneReward\) < 1' -or $chayenneReward -notmatch 'setStorageValue\(Storage\.ChayenneReward, 1\)') {","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","True","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Scripts/Test-QuestAccessBypass.ps1","","Scripts/Test-QuestAccessBypass.ps1","46","PRESERVE_REWARD_OR_PROGRESS","if (-not $earlyBranch -or $earlyBranch -match 'setStorageValue|removeItem|addItem') {","","","","","","True","False","False","","","Nega uso ou passagem.","True","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Scripts/Test-UseItemAccessBypass.ps1","","Scripts/Test-UseItemAccessBypass.ps1","23","B_KEY_ACCESS","if ($content -notmatch 'if questAccessUnlocked or \(.*removeItem\(5021, 1\)\) then') {","","","","","","False","False","False","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Scripts/Test-UseItemAccessBypass.ps1","","Scripts/Test-UseItemAccessBypass.ps1","29","B_KEY_ACCESS","if ($dreamKey -notmatch 'if not doorAccessUnlocked then(?s:.*?)setStorageValue') {","","","","","","False","True","False","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Scripts/Test-UseItemAccessBypass.ps1","","Scripts/Test-UseItemAccessBypass.ps1","34","B_KEY_ACCESS","if ($chayenne -notmatch 'not itemAccessUnlocked and player:getItemCount\(14682\) < 1') {","","","","","","False","False","True","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/events/scripts/player","","Server/data/events/scripts/player.lua","377","F_DOOR_WALL_BARRIER","if tile and tile:getItemById(370) then","","getItemById(370","","","","False","True","False","","","Nega uso ou passagem.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem remover reward ou progresso da quest.","True"
"Server/data/events/scripts/player","","Server/data/events/scripts/player.lua","488","A_QUEST_ACCESS_GATE","if item:getActionId() == IMMOVABLE_ACTION_ID then","","","","","","False","False","False","","","Nega uso ou passagem.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6261","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2908"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6264","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2907"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6267","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2910"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6270","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2909"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6384","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2937"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6387","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2936"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6390","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2939"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6393","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2938"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6408","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2945"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6411","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2944"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6414","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2947"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","6417","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""2946"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","23298","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""8709"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71250","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38530"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71253","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38529"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71256","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38532"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71259","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38531"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71262","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38534"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71265","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38533"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71268","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38536"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71271","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38535"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71276","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38624"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71279","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38623"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71282","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38626"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","71285","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""38625"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","73136","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""39447"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","73141","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""39446"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","75081","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""42628"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","75086","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""42628"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","75091","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""42629"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","75096","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""42629"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","75100","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""42625"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","75104","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""42627"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
